GL class,Ledger Type,Ledger Name,Ledger Code,Ledger Description,Ledger Currency,Branch,Related Parent Ledger,Mapped Product Code,Mapped Product Name
Revenue,Parent,Sample Parent Revenue - 064,REVRWX,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 063,REVFKQ,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 062,REVZXY,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 061,REVEAW,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 059,REVFKR,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 058,REVJYT,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 057,REVSKP,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 056,REVCLF,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 055,REVNAE,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 054,REVZUW,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 053,REVMRK,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 052,REVGFZ,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 031,REVIVW,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 022,REVNDD,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 030,REVQBK,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 029,REVTUL,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 028,REVYQL,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 027,REVVXF,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 025,REVGMN,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 024,REVNJC,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 023,REVVLH,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 012,REVVQT,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 021,REVXED,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 020,REVWKS,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 019,REVPSH,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 018,REVJMS,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 017,REVWZC,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 016,REVUNE,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 015,REVUIX,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 014,REVVUP,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 013,REVSCC,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 002,REVHKP,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 011,REVKBX,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 010,REVWRW,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 009,REVGAP,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 008,REVCMI,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 007,REVBPR,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 006,REVAXN,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 005,REVMKQ,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 004,REVPQW,This is a parent under a parent Vault Cash,LPP,S012,,,
Revenue,Parent,Sample Parent Revenue - 003,REVRMB,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 038,ASTRRI,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 037,ASTJYD,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 036,ASTROU,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 035,ASTHYW,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 040,ASTFVG,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 034,ASTNWZ,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 033,ASTXNX,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 032,ASTNJN,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 021,ASTVGU,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 030,ASTFSS,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 029,ASTJXG,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 028,ASTHOL,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 027,ASTSHB,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 026,ASTHTX,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 025,ASTEMK,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 024,ASTRCD,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 023,ASTAUH,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 022,ASTHFE,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 011,ASTNJJ,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 020,ASTJFZ,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 019,ASTXGT,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 018,ASTPCJ,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 017,ASTTCM,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 016,ASTYOG,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 015,ASTDSY,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 014,ASTRKE,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 013,ASTRSZ,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 012,ASTQGI,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 001,ASTKPP,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 010,ASTXAH,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 009,ASTYVL,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 008,ASTPPY,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 007,ASTOKY,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 006,ASTAAN,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 005,ASTNFE,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 004,ASTLBY,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 003,ASTQPY,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Sample Parent Asset - 002,ASTHOF,This is a parent under a parent Vault Cash,LPP,S012,,,
Asset,Parent,Test parent creation,ASTHD3,Description,NGN,HQ,,,
Revenue,Parent,Revenue Parent,REVREW,parent,NGN,T002,,,
Equity,Parent,Parent Equity,EQURRR,Parent Equity Ledger,NGN,T002,,,
Revenue,Parent,Revenue_Test_Upload SRC B,REVVDP,Desc- Revenue_Test_Upload SRC B,NGN,HQ,,,
Revenue,Parent,Revenue_Test_Upload SRC A,REVXZP,Desc,NGN,HQ,,,
Revenue,Parent,Revenue_Test_Upload SRC,REVCSP,Desc,NGN,HQ,,,
Asset,Parent,Asset_Test_Upload SRC A,ASTATI,Desc,NGN,HQ,,,
Asset,Parent,Asset_Test_Upload SRC,ASTATU,Desc,NGN,HQ,,,
Expense,Parent,Expense Ledger- Type S,EXPELT,Desc,NGN,HQ,,,
Asset,Parent,New Asset ledger GTBA,ASTVAX,Desc,TYA,T002,,,
Asset,Parent,New Asset ledger XAC,ASTVGT,Desc,TYT,Y008,,,
Equity,Parent,New Equity ledger XRC,EQUBYT,Desc,BMY,Y008,,,
Expense,Parent,New Expense ledger XYZ,EXPVGA,desc,NGB,Y008,,,
Expense,Parent,New Expense ledger XVR,EXPVGQ,desc,NGB,Y008,,,
Liability,Parent,New Liablitly ledger VDR,LIAVGB,desc,NGB,Y008,,,
Revenue,Parent,Rentals VGTT,REVRNT,Desc,NGN,Y008,,,
Expense,Parent,New Expense ledger ABC,EXPVGL,desc,NGB,Y008,,,
Expense,Parent,New Expense Primium Ledger VDR,EXPVGF,desc,NGB,Y008,,,
Liability,Parent,Profit and Loss DRQ,LIAPFA,Description,NGN,Y008,,,
Asset,Parent,New Asset ledger ABC,ASTVGC,Desc,BMY,Y008,,,
Equity,Parent,New Equity Primium Ledger VBV,EQUVBV,desc,PDS,Y008,,,
Asset,Parent,MOJ Loans,ASTML1,Do Not Touch,NGN,HQ,,,
Asset,Parent,Loans,ASTLNC,Desc,NGN,Y008,,,
Asset,Parent,Penalty Loan,ASTPL1,To test loan products with penalty configuration,NGN,Y008,,,
Asset,Parent,New Asset ledger GTB,ASTVAT,Desc,TYA,T002,,,
Asset,Parent,April first asset,ASTAPA,April first asset,NGN,S002,,,
Asset,Parent,Loan Type W,ASTGTR,Desc,NGN,HQ,ASTLNC,,
Asset,Parent,Quick Loan,ASTQL9,Test,NGN,HQ,,,
Asset,Parent,Small branch ledger for lekki,ASTAAT,Small Branch Ledger,NGN,Y008,,,
Asset,Parent,Recurrent Asset BTRD,ASTRCA,Desc,YEN,HQ,,,
Liability,Parent,Liability-Type X,LIALBX,desc,NGN,HQ,,,
Revenue,Parent,Penalty Income Ledger,REVPIL,Test,NGN,Y008,,,
Liability,Parent,Product parent,LIA321,product parent,NGN,T002,,,
Asset,Parent,Prepaid Asset Ledgers,ASTPAL,Prepaid Asset Ledgers,NGN,HQ,,,
Equity,Parent,Parent Equitty Ledger GTY,EQUBHY,Desc,NGN,HQ,,,
Liability,Parent,Liability-Salem C,LIABHA,Desc,NGN,HQ,,,
Revenue,Parent,KIAKIA Revenue Loan,REVKLR,Test,NGN,HQ,,,
Equity,Parent,Divident-Type V,EQUDVF,Desc,NGN,HQ,,,
Expense,Parent,Expense Parent,EXPASS,done,NGN,T002,,,
Asset,Parent,Recurrent Asset RWE -Sub 1,ASTRAI,Desc,NGN,HQ,ASTCET,,
Asset,Parent,Recurrent Asset RWE,ASTCET,Desc,NGN,HQ,,,
Liability,Parent,Term deposit ledgers,LIAIVN,For investments,NGN,T002,,,
Asset,Parent,KIAKIA Loan,ASTKL1,Test,NGN,HQ,,,
Equity,Parent,Dividend-cash tranzact 1,EQUDCT,Dividend-Cash Tranzact - Description,NGN,T002,,,
Liability,Parent,Loan Payable ZZW,LIAZZW,Desc,NGN,HQ,LIALBX,,
Revenue,Parent,MOJ Revenue Loans,REVML4,Test,NGN,HQ,,,
Expense,Parent,Expense dtfv,EXPDTF,DEScription,NGN,HQ,,,
Expense,Parent,Expense DTFV,EXPDTF,DEScription,NGN,HQ,,,
Revenue,Parent,Revenue WPTTR,REVWPT,Description,LGN,HQ,,,
Revenue,Parent,Quick Loan Revenue,REVQLR,Test,NGN,HQ,,,
Asset,Parent,Rent,ASTRNB,Desc,NGN,HQ,,,
Asset,Parent,OTHER ASSETS,ASTOAS,This is a parent ledger,LGN,S012,,,
Asset,Parent,NON CURRENT ASSET HELD FOR SALE,ASTHFS,This is a parent ledger,LGN,S012,,,
Asset,Parent,LOANS AND ADVANCES TO CUSTOMERS,ASTLAD,This is a parent ledger,LGN,S012,,,
Asset,Parent,INTANGIBLE ASSETS,ASTINT,This is a parent ledger,LGN,S012,,,
Asset,Parent,FAIR VALUE THROUGH PL,ASTFTP,This is a parent ledger,LGN,S012,,,
Asset,Parent,FAIR VALUE THROUGH OCI,ASTFTO,This is a parent ledger,LGN,S012,,,
Asset,Parent,DERIVATIVE FINANCIAL ASSETS,ASTDFA,This is a parent ledger,LGN,S012,,,
Asset,Parent,DEFERRED TAX ASSETS,ASTDTA,This is a parent ledger,LGN,S012,,,
Asset,Parent,CASH AND CASH EQUIVALENT,ASTCCE,This is a parent ledger,LGN,S012,,,
Asset,Parent,ASSETS PLEDGED AS COLLATERAL,ASTAPC,This is a parent ledger,LGN,S012,,,
Asset,Parent,AMORTISED COST,ASTAMC,This is a parent ledger,LGN,S012,,,
Asset,Parent,FGN PROMISSORY NOTE - AMC,AST109,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,OTHER BOND - AMORTISED,AST108,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,CORPORATE EUROBOND- AMORTISED,AST107,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,CORPORATE BONDS-AMORTISED,AST106,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,EURO BONDS - AMORTISED,AST105,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,LGA BONDS -AMORTISED,AST104,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,STATE BONDS -AMORTISED,AST103,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,FGN BONDS -AMORTISED,AST102,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,TREASURY BILL - AMORTISED,AST101,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,TREASURY BILL - AMORTISED - TEST CORRECTED,AST491,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,TREASURY BILL - AMORTISED - TEST CORRECTED 2,AST492,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,TREASURY BILL - AMORTISED - TEST CORRECTED 3,AST493,This is a parent under a parent Amortized Cost,NGN,HQ,ASTAMC,,
Asset,Parent,AMORTISED COST-TEST-UPLOAD,ASTACU,This is a parent leaf ledger,LGN,S012,ASTAMC,,
Asset,Parent,AMORTISED COST-TEST-UPLOAD-1,ASTACT,This is a parent leaf ledger,LGN,S012,ASTAMC,,
Asset,Parent,COUPON TRANSIT - AMORTISED,AST127,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,COUPON - OTHER BOND -AMORTISED,AST126,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,COUPON-CORP EUROBOND-AMORTISED,AST125,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,COUPON - CORP BONDS- AMORTISED,AST124,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,COUPON - EURO BONDS -AMORTISED,AST123,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,COUPON - LGA BONDS -AMORTISED,AST122,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,COUPON - STATE BONDS-AMORTISED,AST121,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,COUPON -FGN BONDS -AMORTISED,AST120,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,COUPON - T. BILL- AMORTISED,AST119,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,TRANSIT DISC & PREM-AMORTISED,AST118,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,DISC&PREM-OTHER BOND-AMORTISED,AST117,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,DIS&PREM-COR EURBOND-AMORTISED,AST116,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,DISC &PREM- CORPBOND-AMORTISED,AST115,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,DISC&PREM- EURO BOND-AMORTISED,AST114,This is a parent under a parent Amortized Cost,LGN,S012,,,
Asset,Parent,COUPON TRANSIT - AMORTISED-10,AST141,This is a parent under a parent Amortized Cost,LGN,S012,ASTAMC,,
Asset,Parent,COUPON - OTHER BOND -AMORTISED-10,AST140,This is a parent under a parent Amortized Cost,LGN,S012,ASTAMC,,
Asset,Parent,COUPON-CORP EUROBOND-AMORTISED-10,AST139,This is a parent under a parent Amortized Cost,LGN,S012,ASTAMC,,
Asset,Parent,COUPON - CORP BONDS- AMORTISED-10,AST138,This is a parent under a parent Amortized Cost,LGN,S012,ASTAMC,,
Asset,Parent,COUPON - EURO BONDS -MORTISED-10,AST137,This is a parent under a parent Amortized Cost,LGN,S012,ASTAMC,,
Asset,Parent,COUPON - LGA BONDS -AMORTISED-10,AST136,This is a parent under a parent Amortized Cost,LGN,S012,ASTAMC,,
Asset,Parent,COUPON - STATE BONDS-AMORTISED-10,AST135,This is a parent under a parent Amortized Cost,LGN,S012,ASTAMC,,
Asset,Parent,COUPON -FGN BONDS -MORTISED-10,AST134,This is a parent under a parent Amortized Cost,LGN,S012,ASTAMC,,
Asset,Parent,COUPON - T. BILL- AMORTIZED-10,AST133,This is a parent under a parent Amortized Cost,LGN,S012,ASTAMC,,
Asset,Parent,TRANSIT DISC & PREM-AMORTISED-10,AST132,This is a parent under a parent Amortized Cost,LGN,S012,ASTAMC,,
Asset,Parent,DISC&PREM-OTHER BOND-AMORTISED-10,AST131,This is a parent under a parent Amortized Cost,LGN,S012,ASTAMC,,
Asset,Parent,DIS&PREM-COR EURBOND-AMORTISED-10,AST130,This is a parent under a parent Amortized Cost,LGN,S012,ASTAMC,,
Asset,Parent,DISC &PREM- CORPBOND-AMORTISED-10,AST129,This is a parent under a parent Amortized Cost,LGN,S012,ASTAMC,,
Asset,Parent,DISC&PREM- EURO BOND-AMORTISED-10,AST128,This is a parent under a parent Amortized Cost,LGN,S012,ASTAMC,,
Liability,Parent,TREASURY BILL - AMORTISED - TEST CHILD PARENT 06,LIA502,This is a parent under a parent Amortized Cost Liability,LGN,S012,LIA500,,
Asset,Parent,Futuristic Account,ASTFUA,Futuristic Account Description,LGN,S012,,,
Asset,Parent,Fashion Magazine ledger,ASTFML,Fashion Magazine ledger Description,LGN,S012,AST141,,
Asset,Parent,New Agriculture Account,ASTNAA,New Agriculture Account Description,LGN,S012,AST141,,
Asset,Parent,Fountain Account,ASTFTA,Fountain Account Description,LGN,S012,,,
Asset,Parent,Domestic duties account,ASTDDA,Domestic duties account Description,LGN,S012,AST136,,
Asset,Parent,Agriculture Account,ASTAGA,Agriculture Account Description,LGN,S012,AST136,,
Asset,Parent,Max Parent 1,ASTMAP,Max Parent 1,NGN,HQ,,,
Asset,Parent,Securities,ASTSEC,Security Debit,NGN,HQ,,,
Asset,Parent,Asset-Salem 1,ASTASX,Descripttion,LGN,S012,ASTFTA,,
Equity,Parent,Asset-Salem 2,EQUAZX,Descripttion,LGN,S012,EQUDCT,,
Liability,Parent,TREASURY BILL - AMORTISED - TEST CHILD PARENT 07,LIA505,This is a parent under a parent Amortized Cost Liability o7,HOL,S012,LIA500,,
Equity,Parent,Equity Ledger- Type S 1,EQUESD,Desc,NGN,HQ,,,
Equity,Parent,New Equity ledger XRQ,EQUCWU,Desc,TYT,Y008,,,
Equity,Parent,Equity_Test_Upload SRC,EQUFTV,Desc,NGN,HQ,,,
Equity,Parent,Equity_Test_Upload SRC B,EQUCXS,Desc,NGN,HQ,,,
Expense,Parent,Expense_Test_Upload SRC B,EXPGFY,Description,NGN,HQ,,,
Expense,Parent,Expense_Test_Upload SRC,EXPSUY,Desc,NGN,HQ,,,
Asset,Parent,Quick Credit,ASTQC1,Test,NGN,HQ,,,
Liability,Parent,Liability ABC,LIAMNU,Desc-Liability,NGN,HQ,,,
